PlateSequenceName,WellId,Glucose,Lactate,Glutamine,Glutamate,Glucose_fixed,Glutamine_fixed,Feed_Glucose_mL,Feed_Glutamine_mL
20251114-EBT-T0-T3,R24_A01,5.5251051890032095,0.4067335446088549,5.20399763523175,2.03730307172126,5.5251051890032095,5.20399763523175,0.0,0.0
20251114-EBT-T0-T3,R24_A02,5.728370974122817,0.4658414229594683,5.2413058974468605,1.91197428634846,5.728370974122817,5.2413058974468605,0.0,0.0
20251114-EBT-T0-T3,R24_A03,4.926698658920366,0.3481953780553613,5.39986690615336,1.94711198401408,4.926698658920366,5.39986690615336,0.0,0.0
20251114-EBT-T0-T3,R24_A04,5.883694356073517,0.4583990327967346,5.104563538897764,1.8659279274290528,5.883694356073517,5.104563538897764,0.0,0.0
20251114-EBT-T0-T3,R24_A05,4.883355972856447,0.4519811259782107,5.288492066362823,1.8872644243446035,4.883355972856447,5.288492066362823,0.0,0.0
20251114-EBT-T0-T3,R24_A06,5.514353002730137,0.4817130587538843,5.22622529772598,1.9260876733998968,5.514353002730137,5.22622529772598,0.0,0.0
20251114-EBT-T0-T3,R24_A07,5.781997949321643,0.428874477207346,5.370666313769497,1.9139971610608533,5.781997949321643,5.370666313769497,0.0,0.0
20251114-EBT-T0-T3,R24_A08,5.18736175306919,0.9176413467946706,4.4129323972321,2.0560964472859564,5.18736175306919,4.4129323972321,0.0,0.0
20251114-EBT-T0-T3,R24_B01,5.211976662063447,0.9243097696251544,4.421499809718406,2.1993846489014,5.211976662063447,4.421499809718406,0.0,0.0
20251114-EBT-T0-T3,R24_B02,5.237754483429557,0.8613047320520364,4.560890594482946,2.08636366766342,5.237754483429557,4.560890594482946,0.0,0.0
20251114-EBT-T0-T3,R24_B03,4.6259993785647895,0.7257819547461754,4.094602805732987,1.9394152543098533,4.6259993785647895,4.094602805732987,0.0,0.0
20251114-EBT-T0-T3,R24_B04,5.008261332973857,1.014143789406144,4.492466711905927,2.194482255587667,5.008261332973857,4.492466711905927,0.0,0.0
20251114-EBT-T0-T3,R24_B05,4.584473957426247,0.8504579090640263,4.606000252015323,2.032060099463086,4.584473957426247,4.606000252015323,0.0,0.0
20251114-EBT-T0-T3,R24_B06,5.16041994281166,0.7417132100069113,4.794351633476807,2.052512479356013,5.16041994281166,4.794351633476807,0.0,0.0
